participant,L1,meanAccent,self_accent_perception,others_accent_perception,ReadEntropy,SpeakEntropy,HomeEntropy,WorkEntropy,SocialEntropy,age,yearsBilingual,aoa,gender,L1_current_exposure,L2_current_exposure,L3_current_exposure,L1_choose_read,L2_choose_read,L3_choose_read,L1_choose_speak,L2_choose_speak,L3_choose_speak,L1_home_use,L2_home_use,L3_home_use,L1_work_use,L2_work_use,L3_work_use,L1_social_use,L2_social_use,L3_social_use,L2_speaking_ability,L2_reading_ability,L2_writing_ability,L2_translating_ability,L2_listening_comprehension_ability,L2_pronunciation_ability,L2_fluency_ability,L2_vocabulary_ability,L2_grammatrical_ability,L2_overall_competence_ability,L1_speaking_ability,L1_reading_ability,L1_writing_ability,L1_translating_ability,L1_listening_comprehension_ability,L1_pronunciation_ability,L1_fluency_ability,L1_vocabulary_ability,L1_grammatrical_ability,L1_overall_competence_ability,meanL2ability,L2_exposure,occupation
895,French,5,6,4,0.881290899230693,0.881290899230693,0.591672778582327,0.591672778582327,0.811278124459133,25,15,10,Male,80,20,0,70,30,0,70,30,0,7,2,1,7,2,1,7,3,1,4,4,4,6,4,4,4,4,3,4,10,10,10,10,10,10,10,10,10,10,4.1,20,work
896,French,4.5,4,5,0,1.37095059445467,0.811278124459133,0.591672778582327,1.37095059445467,19,12,7,Female,60,20,20,100,0,0,60,20,20,7,1,3,7,1,2,7,3,3,4,4,4,4,7,4,4,4,4,4,7,10,10,9,10,7,7,9,10,9,4.3,20,student
897,French,6.5,7,6,0.881290899230693,0.934068055375491,0.918295834054489,0.591672778582327,0.970950594454669,21,13,8,Female,70,30,0,70,30,0,65,35,0,7,4,1,7,2,1,7,5,1,7,9,9,9,9,7,7,9,7,7,10,10,10,10,10,10,10,10,10,10,8,30,student
898,French,4.5,5,4,1.36096404744368,1.37095059445467,0.591672778582327,1.48335575498169,1.54858060652285,20,4,16,Female,15,70,15,40,50,10,60,20,20,7,2,1,6,6,3,6,6,4,7,7,6,9,9,6,7,6,6,7,10,10,10,10,10,10,10,10,10,10,7,70,student
900,French,3,4,2,0.141440542541821,0.322493361860324,0,1.36096404744368,0.591672778582327,33,23,10,Female,80,19,1,98,2,0,95,4,1,7,1,1,6,5,2,7,2,1,7,9,7,7,7,7,6,6,7,7,10,10,10,10,10,10,10,10,10,10,7,19,work
901,French,1,1,1,1,1.52192809488736,0,0.918295834054489,1.39214722366453,19,15,4,Female,45,50,5,50,50,0,40,40,20,7,1,1,4,7,1,5,5,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,work/student
903,French,5.5,5,6,0.779207486310554,1.03841496705334,0.811278124459133,1.35164411515339,1.34858789601242,19,18,1,Female,30,45,25,19,80,1,60,39,1,7,3,1,4,6,2,6,6,2,6,7,6,7,9,6,7,7,7,7,10,10,10,10,10,10,10,10,10,10,6.9,45,student
905,French,5.5,5,6,0.468995593589281,1,0,0.863120568566631,1,19,8,11,Female,60,40,0,90,10,0,50,50,0,7,1,1,3,6,1,4,4,1,7,9,9,6,9,7,9,7,7,7,10,10,10,9,10,10,10,10,10,10,7.7,40,student
907,French,4,2,6,0,0.811278124459133,0.591672778582327,0,0.970950594454669,20,9,11,Male,25,75,0,100,0,0,75,25,0,7,2,1,1,7,1,7,5,1,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,9.8,75,student
908,French,2,2,2,0.881290899230693,0.721928094887362,0.918295834054489,0.970950594454669,0.994030211476957,22,21,1,Female,50,50,0,30,70,0,80,20,0,7,4,1,7,5,1,7,6,1,7,7,6,7,9,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,7.1,50,student
